maille;date_jour;jour_semaine;semaine;annee;donnees;conso_corrigee;borne_inf;borne_sup;borne_moyenne;conso_brute;borne_inf_brute;borne_sup_brute;borne_moyenne_brute
semaine;2025-06-01;22_7;22;2023;CPRC;43341,1041057968;NA;NA;NA;43599,9236422551;NA;NA;NA
semaine;2025-06-01;22_7;22;2022;CPRC;45896,5488857708;NA;NA;NA;45998,4292732708;NA;NA;NA
semaine;2025-06-01;22_7;22;2021;CPRC;44992,4589204812;NA;NA;NA;45337,3241829812;NA;NA;NA
semaine;2025-06-01;22_7;22;2020;CPRC;42385,1676839042;NA;NA;NA;42577,2002422375;NA;NA;NA
semaine;2025-05-25;21_7;21;2025;CPRC;43880,6083358665;45979,5711243906;47768,2626837833;47062,5315293113;44133,1751816998;46036,5155462656;49213,9509612000;47777,0723206307
semaine;2025-05-25;21_7;21;2024;CPRC;44385,5961567880;NA;NA;NA;44876,5053911630;NA;NA;NA
semaine;2025-05-25;21_7;21;2023;CPRC;43684,8156493208;NA;NA;NA;43776,2346368208;NA;NA;NA
semaine;2025-05-25;21_7;21;2022;CPRC;44699,2483357083;NA;NA;NA;44472,2556013333;NA;NA;NA
semaine;2025-05-25;21_7;21;2021;CPRC;46246,1052412465;NA;NA;NA;48754,1884964548;NA;NA;NA
semaine;2025-05-25;21_7;21;2020;CPRC;41782,8858222917;NA;NA;NA;42002,9754837500;NA;NA;NA
semaine;2025-05-18;20_7;20;2025;CPRC;44028,7999906665;46582,8374436094;48137,0516802401;47583,2177808320;44032,5506489998;46551,5891415260;50711,3955228042;48894,2683313529
semaine;2025-05-18;20_7;20;2024;CPRC;44372,8163330346;NA;NA;NA;44566,2736913679;NA;NA;NA
semaine;2025-05-18;20_7;20;2023;CPRC;42838,0387028281;NA;NA;NA;44863,2219476197;NA;NA;NA
semaine;2025-05-18;20_7;20;2022;CPRC;46189,7070611125;NA;NA;NA;46277,1565402792;NA;NA;NA
semaine;2025-05-18;20_7;20;2021;CPRC;46554,8957106603;NA;NA;NA;49713,3819523269;NA;NA;NA
semaine;2025-05-18;20_7;20;2020;CPRC;42933,6621242625;NA;NA;NA;45700,5228825958;NA;NA;NA
semaine;2025-05-11;19_7;19;2025;CPRC;43378,5781042046;44685,0148717549;49267,5851330677;47896,9430871247;44627,5015677463;44137,6238509216;53229,4118252994;48995,3588300066
semaine;2025-05-11;19_7;19;2024;CPRC;43737,0062488725;NA;NA;NA;44613,9377974836;NA;NA;NA
semaine;2025-05-11;19_7;19;2023;CPRC;45054,4360135103;NA;NA;NA;45635,6646280937;NA;NA;NA
semaine;2025-05-11;19_7;19;2022;CPRC;47272,7944519667;NA;NA;NA;45978,0635769667;NA;NA;NA
semaine;2025-05-11;19_7;19;2021;CPRC;45500,6865553866;NA;NA;NA;47419,4350189282;NA;NA;NA
semaine;2025-05-11;19_7;19;2020;CPRC;43462,0165506875;NA;NA;NA;42323,6919621458;NA;NA;NA
semaine;2025-05-04;18_7;18;2025;CPRC;44374,2291650536;48224,7313110364;49289,1345084427;48692,6245338365;42911,5551442203;50748,9299152031;53814,1076230260;51654,6249904337
semaine;2025-05-04;18_7;18;2024;CPRC;45857,2406683679;NA;NA;NA;48489,1590485762;NA;NA;NA
semaine;2025-05-04;18_7;18;2023;CPRC;46419,3197114166;NA;NA;NA;45013,1112426666;NA;NA;NA
semaine;2025-05-04;18_7;18;2022;CPRC;48010,1180771417;NA;NA;NA;47458,6553813083;NA;NA;NA
semaine;2025-05-04;18_7;18;2021;CPRC;47464,7129733874;NA;NA;NA;52074,5733108874;NA;NA;NA
semaine;2025-05-04;18_7;18;2020;CPRC;43856,5670748854;NA;NA;NA;42967,8625748854;NA;NA;NA
semaine;2025-04-27;17_7;17;2025;CPRC;47842,1979276491;49751,2014901292;51592,4693338437;50689,5040221147;48506,1653443157;47558,4171284673;58330,9874278833;52040,5733250661
semaine;2025-04-27;17_7;17;2024;CPRC;47126,8182946720;NA;NA;NA;54563,9073155054;NA;NA;NA
semaine;2025-04-27;17_7;17;2023;CPRC;47676,7707975332;NA;NA;NA;48587,5239933666;NA;NA;NA
semaine;2025-04-27;17_7;17;2022;CPRC;49442,9132920208;NA;NA;NA;48433,9548378541;NA;NA;NA
semaine;2025-04-27;17_7;17;2021;CPRC;48715,1412748498;NA;NA;NA;49976,3840915165;NA;NA;NA
semaine;2025-04-27;17_7;17;2020;CPRC;45432,9575242833;NA;NA;NA;42119,2563784500;NA;NA;NA
semaine;2025-04-20;16_7;16;2025;CPRC;49391,7000127595;52040,9316954583;53372,6134063625;52903,9142839191;48848,3563710928;49189,8596713218;55256,4817996250;52112,9501616969
semaine;2025-04-20;16_7;16;2024;CPRC;49424,1330681484;NA;NA;NA;49996,1314889818;NA;NA;NA
semaine;2025-04-20;16_7;16;2023;CPRC;48705,1635930708;NA;NA;NA;49923,9975347374;NA;NA;NA
semaine;2025-04-20;16_7;16;2022;CPRC;50887,3452363333;NA;NA;NA;48651,7875436250;NA;NA;NA
semaine;2025-04-20;16_7;16;2021;CPRC;50308,3971607734;NA;NA;NA;51695,9736441067;NA;NA;NA
semaine;2025-04-20;16_7;16;2020;CPRC;46195,8260354739;NA;NA;NA;42695,6606917239;NA;NA;NA
semaine;2025-04-13;15_7;15;2025;CPRC;50536,2500149512;54213,5462447750;56140,0994726930;55474,0163287975;47202,8788482845;50231,7448489417;57007,5354013662;53985,9234758461
semaine;2025-04-13;15_7;15;2024;CPRC;52898,4674763193;NA;NA;NA;48737,6136971526;NA;NA;NA
semaine;2025-04-13;15_7;15;2023;CPRC;50855,6555306197;NA;NA;NA;52224,9609472864;NA;NA;NA
